Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
ROM	front	intro	gtn1			0		# Introduction to Romans\n\n## Part 1: General Introduction\n\n### Outline of the book of Romans\n\n1. Introduction (1:1–15)\n2. Main Theme: Righteousness is received by trusting in Jesus Christ (1:16–17)\n3. All mankind is condemned because of sin (1:18–3:20)\n4. Righteousness is received through Jesus Christ by trusting in him (3:21–5:21)\n5. Becoming like Christ in this life (6:1–8:39)\n6. God’s plan for Israel (9:1–11:36)\n7. Instructions for living as Christians (12:1–15:13)\n8. Conclusion (15:14–16:27)\n\n### Who wrote the book of Romans?\n\nThe Apostle Paul wrote the book of Romans and may other books in the New Testament. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was part of a strict Jewish religious group called the Pharisees. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.\n\nPaul probably wrote this letter while he was staying in the city of Corinth during his third trip through the Roman Empire.\n\n### What is the book of Romans about?\n\nPaul wrote this letter to the Christians in Rome. Paul wanted to get them ready to receive him when he visited them. He said his purpose was to “bring about the obedience of faith” ([16:26](../16/26.md)).\n\nIn this letter Paul most fully described the gospel of Jesus Christ. He explained that both Jews and non-Jews have sinned, and God will forgive them and declare them righteous only if they believe in Jesus (chapters 1–11). Then he gave them practical advice for how believers should live (chapters 12–16),\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “Romans.” Or they may choose a clearer title, such as “Paul’s Letter to the Church in Rome,” or “A Letter to the Christians in Rome.” (See: [[rc://en/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What are the titles used to refer to Jesus?\n\nIn Romans, Paul described Jesus Christ by many titles and descriptions: Jesus Christ (1:1), the Seed of David (1:3), the Son of God (1:4), the Lord Jesus Christ (1:7), Christ Jesus (3:24), Propitiation (3:25), Jesus (3:26), Jesus our Lord (4:24), Lord of Hosts (9:29), a Stumbling Stone and Rock of Offence (9:33), the End of the Law (10:4), the Deliverer (11:26), Lord of the Dead and the Living (14:9), and the Root of Jesse (15:12).\n\n### How should theological terms in Romans be translated?\n\nPaul uses many theological terms that are not used in the four Gospels. As early Christians learned more about the meaning of Jesus Christ and his message, they needed words and expressions for new ideas. Some examples of these words are “justification” (5:1), “works of the law” (3:20), “reconcile” (5:10), “propitiation” (3:25), “sanctification” (6:19), and “the old man” (6:6). If your language doesn’t have similar words, you can develop short phrases to communicate these ideas. For example, the term “gospel” can be translated as “the good news about Jesus Christ.”\n\nTranslators should also remember that some of these terms have more than one meaning. The meaning will depend on how the author is using the word in that particular passage. For example, “righteousness” sometimes means that a person obeys God’s law. At other times, “righteousness” means that Jesus Christ has perfectly obeyed God’s law for us.\n\n### What did Paul mean by “a remnant” of Israel ([11:5](../11/05.md))?\n\nThe idea of a “remnant” is important both in the Old Testament and for Paul. Most of the Israelites were either killed or scattered among other people when the Assyrians and then the Babylonians conquered their land. Only a relatively few Jews survived. They were known as “the remnant.”\n\nIn [11:1–9](../11/01.md), Paul speaks of another remnant. This remnant is the Jews whom God saved because they believed in Jesus. (See: [[rc://en/tw/dict/bible/kt/remnant]])\n\n## Part 3: Important Translation Issues\n\n### What did Paul mean by being “in Christ”?\n\nThe phrase “in Christ” and similar phrases occur in 3:24; 6:11, 23; 8:1,2,39; 9:1; 12:5,17; 15:17; and 16:3,7,9,10. Paul used these kinds of phrases as a metaphor to express that Christian believers belong to Jesus Christ. Belonging to Christ means the believer is saved and is made a friend with God. The believer is also promised to live with God forever. However, this idea can be difficult to represent in many languages.\n\nThese phrases also have specific meanings that depend on how Paul used them in a particular passage. For example, in [3:24](../03/24.md) (“the redemption that is in Christ Jesus”), Paul referred to our being redeemed “because” of Jesus Christ. In [8:9](../08/09.md) (“you are not in the flesh but in the Spirit”), Paul spoke of believers submitting “to” the Holy Spirit. In [9:1](../09/01.md) (“I tell the truth in Christ”), Paul meant that he is telling the truth that “is in agreement with” Jesus Christ.\n\nNevertheless, the basic idea of our being united with Jesus Christ (and with the Holy Spirit) is seen in these passages as well. Therefore, the translator has a choice in many passages that use “in.” He will often decide to represent the more immediate sense of “in,” such as, “by means of,” “in the manner of,” or “in regard to.” But, if possible, the translator should choose a word or phrase that represents the immediate sense and the sense of “in union with.” (See: [[rc://en/tw/dict/bible/kt/inchrist]])\n\n### How are the ideas of “holy,” “saints” or “holy ones,” and “sanctify” represented in Romans in the ULT?\n\nThe scriptures use such words to indicate any one of various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, the ULT uses the following principles:\n\n* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the fact that God considers Christians to be sinless because they are united to Jesus Christ. Another related fact is that God is perfect and faultless. A third fact is that Christians are to conduct themselves in a blameless and faultless manner in life. In these cases, the ULT uses “holy,” “holy God,” “holy ones” or “holy people.” (See: [1:7](../01/07.md))\n* Sometimes the meaning in a passage indicates a simple reference to Christians without implying any particular role filled by them. In cases where some other English versions have “saints” or “holy ones,” the ULT uses “believers.” (See: 8:27; 12:13; 15:25, 26, 31; 16:2, 15)\n* Sometimes the meaning in a passage indicates the idea of someone or something set apart for God alone. In these cases, the ULT uses “set apart,” “dedicated to,” “consecrated,” or “reserved for.” (See: [15:16](../15/16.md))\n\nThe UST will often be helpful as translators think about how to represent these ideas in their own versions.\n\n### What are the major issues in the text of the book of Romans?\n\nFor the following verses, modern version of the Bible differ from older versions. The ULT includes the modern reading and puts the older reading in a footnote.\n\n* “he \\[God\\] works all things together for good” ([8:28](../08/28.md)). Some older versions read, “All things work together for good.”\n* “But if it is by grace, it is no longer by works. Otherwise grace would no longer be grace” ([11:6](../11/06.md)). Some older versions read: “But if it is by works, then is it no more grace: otherwise work is no more work.”\n\nThe following verse is not in the best ancient copies of the Bible. Translators are advised not to include this verse. However, if in the translators’ region there are older Bible versions that have this verse, the translators can include it. If it is translated, it should be put inside square brackets (\\[\\]) to indicate that it is probably not original to the book of Romans.\n\n* “May the grace of our Lord Jesus Christ be with you all. Amen” ([16:24](../16/24.md)).\n\n(See: [[rc://en/ta/man/translate/translate-textvariants]])
ROM	1	intro	hn5n			0		# Romans 1 General Notes<br><br>## Structure and formatting<br><br>1. Introduction (1:1–15)<br>    * Greeting (1:1–7)<br>    * Paul plans to visit Rome (1:8–15)<br>2. Main Theme: Righteousness is received by having faith in Jesus Christ (1:16–17)<br>3. All mankind is condemned because of sin (1:18–3:20)<br>    * All non-Jews have sinned (1:18–32)<br><br>## Special concepts in this chapter<br><br>### The gospel<br><br>This chapter refers to the contents of the Book of Romans as “the gospel” ([1:2](../rom/01/02.md)). Romans is not a Gospel like Matthew, Mark, Luke, or John, which are historical accounts of the life of Jesus. Instead, chapters 1–8 present the biblical gospel, which is the good news of salvation. The gospel contains the following true ideas: Everyone has sinned. Jesus died for our sins. Jesus came back to life again so that we might live for his glory and receive eternal life when we die.<br><br>### Universal Condemnation and the Wrath of God<br><br>In this chapter Paul explains that no one has an excuse for sinning. We all know about the true God, Yahweh, from his creation all around us. Because of our sin and our sinful nature, every person justly deserves the eternal punishment of God. The requirement for this punishment was satisfied by Jesus dying on a cross for those who believe in him. (See: [[rc://en/tw/dict/bible/kt/believe]] and [[rc://en/tw/dict/bible/kt/sin]])<br><br>## Important figures of speech in this chapter<br><br>### “God gave them over”<br><br>Many scholars view the phrases “God gave them over” and “God gave them up” as theologically significant. For this reason, it is important to translate these phrases with God playing a passive role in the action. God allows men to pursue their own sinful desires, he does not force them to act sinfully. (See: [[rc://en/ta/man/translate/figs-activepassive]])
ROM	1	1	x3em	figs-123person	Παῦλος	1	Paul	In the culture of this time, letter writers would give their own names first. Your language may have a particular way of introducing the author of a letter, and if it would be helpful to your readers, you could use it here. Alternate translation: “From Paul” (See: [[rc://en/ta/man/translate/figs-123person]])
ROM	1	1	plvo	translate-names	Παῦλος	1	Paul	**Paul** is the name of a man, an apostle of Jesus. See the information about him in Part 1 of the Introduction to Romans. (See: [[rc://en/ta/man/translate/translate-names]])
ROM	1	1	e417	figs-distinguish	δοῦλος Χριστοῦ Ἰησοῦ, κλητὸς ἀπόστολος	1	Paul	These two phrases give further information about Paul. He describes himself as being someone given the position and authority of being Christ’s **servant** and **apostle**. (See: [[rc://en/ta/man/translate/figs-distinguish]])
ROM	1	1	v5b9	figs-activepassive	κλητὸς ἀπόστολος, ἀφωρισμένος	1	called to be an apostle and set apart for the gospel of God	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “whom Jesus called to be an apostle and set apart” (See: [[rc://en/ta/man/translate/figs-activepassive]])
ROM	1	1	ukts	grammar-connect-logic-goal	εἰς εὐαγγέλιον Θεοῦ	1		Here, **for** introduces a purpose clause. Paul is stating the purpose for which Jesus**set** him **apart**. Use a natural way in your language for introducing a purpose clause. Alternate translation: “in order to preach the gospel of God” or “so that I could announce the good news from God” (See: [[rc://en/ta/man/translate/grammar-connect-logic-goal]])
ROM	1	1	ji90	figs-possession	εὐαγγέλιον Θεοῦ	1		Paul is using the possessive form to describe **the gospel** that comes from **God**. If this is not clear in your language, you could use an equivalent expression. Alternate translation: “the gospel from God” (See: [[rc://en/ta/man/translate/figs-possession]])
ROM	1	2	cu3r	figs-distinguish	ὃ	1		Here, **which** marks that further information is going to be given about “the gospel of God” in the previous verse. Paul is emphasizing that “the gospel of God” has its origin in **the holy Scriptures** that also come from God. If this is not understood in your language, you can make the relationship between these phrases more clear. Alternate translation: “that is, the gospel” (See: [[rc://en/ta/man/translate/figs-distinguish]])
ROM	1	3	lab1	figs-distinguish	περὶ τοῦ Υἱοῦ αὐτοῦ	1	concerning his Son	This phrase gives us further information about “the gospel of God.” Paul means that the message of God’s promised good news is about God’s Son, “Christ Jesus” (See [verse 1](../01/01.md)). If this might confuse your readers, you can make the relationship between these phrases clearer. Alternate translation: “that is, the gospel about his Son” (See: [[rc://en/ta/man/translate/figs-distinguish]])
