Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	wy83				0	# Introduction to 1 Timothy\n\n## Part 1: General Introduction\n\n### Outline of the Book of 1 Timothy\n\nIn this letter, Paul alternates between personal commands to Timothy that empower him to act as his representative and with his authority, and instructions for how followers of Jesus should live in community.\n\n1. Greetings (1:1–2)\n2. Paul commands Timothy to tell people not to teach false doctrines (1:3–20)\n3. Paul gives instructions about how to re-establish order and decency in the church (2:1–15)\n4. Paul gives instructions about how to ensure that elders and deacons are properly qualified (3:1–13)\n5. Paul commands Timothy regarding his own personal conduct (3:14–5:2)\n6. Paul gives instructions to ensure church support for worthy widows (5:3–16) and elders (5:17–20)\n7. Paul commands Timothy that he must be impartial (5:21–25)\n8. Paul gives instructions to ensure order in master-servant relationships (6:1–2a)\n9. Paul commands Timothy regarding how he should teach and conduct himself (6:2b–16)\n10. Paul gives instructions for how people who are rich should live (6:17–19)\n11. Paul commands Timothy to guard what has been entrusted to his care (6:20–21a)\n12. Closing blessing to the whole church (6:21b)\n\n### Who wrote the Book of 1 Timothy?\n\nA man named Paul wrote 1 Timothy. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was a Pharisee. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire telling people about Jesus.\n\nPaul may have written other letters to Timothy, but this is the earliest one that we still have. That is why it is known as 1 Timothy or First Timothy. Timothy was Paul’s disciple and close friend. Paul probably wrote this letter near the end of his life.\n\n### What is the Book of 1 Timothy about?\n\nPaul had left Timothy in the city of Ephesus to help the believers there. Paul wrote this letter to instruct Timothy about various matters. The topics he addressed included church worship, qualifications for church leaders, and warnings against false teachers. This letter shows how Paul was training Timothy to be a leader among the churches while Timothy himself trained other leaders.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its customary title, “1 Timothy” or “First Timothy.” Or they may choose a different title, such as “Paul’s First Letter to Timothy.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What is discipleship?\n\nDiscipleship is the process of making people to be disciples of Christ. The goal of discipleship is to encourage other Christians to be more like Christ. This letter gives many instructions about how a leader should train a less mature Christian. (See: [[rc://*/tw/dict/bible/kt/disciple]])\n\n### When Paul uses the words “faith” and “love,” who does he imply are the recipients of the faith and love?\n\n## Part 3: Important Translation Issues\n\n### What did Paul mean by the expression “in Christ”?\n\nPaul meant to express the idea of a very close union with Christ and the believers. Please see the introduction to the Book of Romans for more details about this kind of expression.\n\n### What are the major textual issues in the text of the book of 1 Timothy?\n\nIn [6:5](../06/05.md), the oldest Greek manuscripts differ from later Greek manuscripts. Modern translations may also differ depending on the Greek manuscript that they translate from. The ULT text translates the Greek from the oldest manuscripts and puts the differences from later manuscripts in a footnote. If a translation of the Bible exists in the general region, translators should consider following the decision in that translation. If not, translators are advised to follow the oldest Greek manuscripts as reflected in the ULT text. (See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	a4v2				0	# 1 Timothy 1 General Notes\n\n## Structure and Formatting\n\n1. Greetings (1:1–2)\n2. Paul commands Timothy to tell people not to teach false doctrines (1:3–20)\n      * Paul commands Timothy to silence the false teachers (1:3–7)\n      * The purpose of the law (1:8–11)\n      * Paul thanks Jesus for his mercy and praises God (1:12–17)\n      * The reason for Paul’s command to Timothy (1:18–20)\n\n## Special Concepts in this Chapter\n\n### The prophecies about Timothy\n\nIn [1:18](../01/18.md), Paul indicates that there were prophecies about Timothy. Paul implies that the prophecies are related to how Timothy will faithfully serve God by proclaiming the gospel. It is not clear when these prophecies were given. They may have been given before Timothy was born, when he was a child, when he became a believer, or when he was commissioned to serve with Paul. It is also not clear who gave these prophecies. When you translate this verse, it is best to refer to these prophecies with as few details as Paul gives.\n\n## Important Figures of Speech in this Chapter\n\n### Spiritual children\n\nIn [1:2](../01/02.md), Paul calls Timothy a “genuine child in the faith.” He means that Timothy is like a legitimate son to him in the context of their faith in Jesus. The phrase implies that Paul is a mentor to Timothy and that Timothy is a good student. When Paul again calls Timothy “child” in [1:18](../01/18.md), he means something very similar: Paul is Timothy’s mentor in the context of their faith in Jesus. Since the use of family language for fellow believers is an important metaphor in the New Testament, if possible preserve the metaphor or express the idea in simile form. See the notes on these verses for translation options. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### Fighting the good fight\n\nIn [1:18](../01/18.md), Paul exhorts Timothy to “fight the good fight.” He compares how Timothy must serve God by proclaiming the gospel to how soldiers fight in a war. He implies that Timothy will experience conflict, danger, and hardship and that he must obey God and Paul as a soldier obeys his commanders. Since Paul uses warfare language to refer to the Christian life in many verses, if possible preserve the metaphor or express the idea in simile form. See the notes on this verse for translation options. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n### Shipwrecked regarding the faith\n\nIn [1:19](../01/19.md), Paul refers to people who “have shipwrecked regarding the faith.” As a ship breaks apart and sinks, so the faith of these people has ceased to function properly. They do not believe in Jesus any longer. If your readers would not be familiar with shipwrecks, you could consider using a comparable metaphor or stating the meaning plainly. See the notes on this verse for translation options. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n## Other Possible Translation Difficulties in this Chapter\n\n### The list in [1:9–10](../01/09.md)\n\nIn these verses, Paul provides a list of some of the kinds of people for whom the law was given. Paul gives four pairs of words connected with “and,” six individual words, and then a concluding phrase. You may need to break this long list into multiple different sentences, as the UST does. If you do, you could still preserve the general structure of Paul’s list, as the UST does in most places. Consider how you would include a list of this kind in your language.
1:1	i3zz		rc://*/ta/man/translate/figs-123person\t	Παῦλος, ἀπόστολος	1	In this culture, letter writers would give their own names first, referring to themselves in the third person. If it would be helpful in your language, you could use the first person here. Or if your language has a particular way of introducing the author of a letter, and if it would be helpful to your readers, you could use it here. Alternate translation: “From Paul. I am an apostle”\n
1:1	xl6d		rc://*/ta/man/translate/figs-abstractnouns	κατ’ ἐπιταγὴν Θεοῦ Σωτῆρος ἡμῶν, καὶ Κυρίου Ἰησοῦ Χριστοῦ	1	If your language does not use an abstract noun for the idea of **command**, you could express the same idea in another way. Alternate translation: “as it was commanded by God our Savior and by the Lord Jesus Christ”
1:1	wb8j		rc://*/ta/man/translate/figs-possession	Σωτῆρος ἡμῶν	1	Here, Paul is using the possessive form to describe a **Savior** who saves us. If this is not clear in your language, you could express the idea in another way. Alternate translation: “who saves us”
1:1	sw77		rc://*/ta/man/translate/figs-metonymy	Κυρίου Ἰησοῦ Χριστοῦ τῆς ἐλπίδος ἡμῶν	1	Here, **our hope** refers to the person in whom we have hope. If it would be helpful in your language, you could use an equivalent expression from your language or state the meaning plainly. Alternate translations: “of the Lord Jesus Christ, the one in whom we have hope”\n
1:1	kdwn		rc://*/ta/man/translate/figs-abstractnouns	Χριστοῦ τῆς ἐλπίδος ἡμῶν	1	If your language does not use an abstract noun for the idea of **hope**, you could express the same idea in another way. Alternate translation: “Christ, in whom we hope”
1:2	p3h5		rc://*/ta/man/translate/figs-123person	Τιμοθέῳ	1	In this culture, after giving their own names, letter writers would name those to whom they sent the letter, referring to them in the third person. If that is confusing in your language, you could use the second person here. Or if your language has a particular way of introducing the recipient of a letter, and if it would be helpful to your readers, you could use it here. Alternate translation: “This letter is for you, Timothy”
1:2	pyi6		rc://*/ta/man/translate/figs-metaphor	γνησίῳ τέκνῳ	1	Paul speaks of his close relationship to Timothy as though Timothy were his **genuine child**. Paul means that he is Timothy’s spiritual father, and Paul loves Timothy in the way a father loves his **child**. If it would be helpful in your language, you could express the idea in simile form or state the meaning plainly. Alternate translation: “who is like a genuine child to me” or “truly my spiritual son”
1:2	lf30		rc://*/ta/man/translate/translate-unknown	γνησίῳ	1	Here, the word **genuine** indicates that the **child** is considered to be someone’s child in the full legal sense. Someone who was born to a woman who was not married would not be considered **genuine** for example. In the context of the metaphor, the word indicates that Timothy has acted as he should have toward Paul. If your readers would not be familiar with the concept of a **genuine child**, you could use the name of a similar concept in your culture or you could use a more general phrase. Alternate translation: “legitimate” or “true”
