Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	an3g				0	# Introduction to the Song of Songs\n\n## Part 1: General Introduction\n\n### Outline of the Song of Songs\n\n1. The bride longs for the bridegroom to arrive (1:1–2:7)\n1. The bridegroom praises the woman he loves (2:8–3:5)\n1. The bridegroom arrives and praises the bride (3:6–5:1)\n1. The bride longs for the bridegroom (5:2–6:9)\n1. The bridegroom praises the beauty of his bride (6:1–8:4)\n1. Final thoughts about love between a man and a woman (8:5–14)\n\n### What is the Song of Songs about?\n\nThe Song of Songs is a poem or a series of poems that celebrate love and intimacy between a man and a woman. Jews traditionally have interpreted the book as a picture of God’s love for his people Israel. In the same way, many Christians interpret it as a picture of love between Christ and his bride, the church of all believers.\n\n### Who wrote the Song of Songs?\n\nThe first verse of the book (“The Song of Songs, which is Solomon’s”) gives the idea that King Solomon of Israel wrote it. However, people have interpreted this verse in different ways, so not everyone is persuaded that Solomon wrote it.\n\n### How should the title of this book be translated?\n\nThis book is traditionally titled “Song of Songs,” which means the very best song, or “Song of Solomon.” It may also be called “Songs of Love,” “Great Poems of Love,” or “The Love Songs of Solomon.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What place do the descriptions of sexual behavior have in the Song of Songs?\n\nThe Song of Songs approves of sexual behavior expressing love between a husband his wife.\n\n## Part 3: Important Translation Issues\n\n### How many characters are in the Song of Songs?\n\nThe two main characters in this book are the man and the woman, who love each other. The woman also speaks to a group of women called the “daughters of Jerusalem,” and these women make comments. However, it is possible that the group of women is not real and the woman is only imagining them.\n\nSome interpreters believe there may be more characters than these, but this is not certain. The ULT and UST versions recognize only the man, the woman, and the group of women.\n\n### What are the lines about people speaking?\n\nThe Song of Songs is a poem that shows the thoughts and words of a man, a woman, and the woman’s friends. Throughout the poem, the author does not identify the speakers and their audience. So to help readers understand the poem, some translations attempt to identify the speaker and the audience. It is not always certain who the speaker is, so sometimes translations disagree about who is speaking.\n\nBefore each speech, the ULT identifies the speaker and the audience like this: “The woman speaking to the other women,” “The woman speaking to the man,” “The man speaking to the woman,” or “The woman speaking to herself.” Translators are encouraged to include these ways of identifying the speaker and the audience, and to format them differently from the scripture text. The translators should also include a note explaining that these explanations are not actually part of the scripture.\n\n### How should one translate the Song of Songs if the readers will view certain terms as coarse, vulgar, or improper?\n\nReaders might consider many images or forms appearing in the Song of Songs as improper when translated. The translator should try to avoid offensive language if possible, by using expressions that will not cause offense. (See: [[rc://*/ta/man/translate/figs-euphemism]])\n\n### How do I translate metaphors and similes in this book?\n\nThere are many metaphors and similes in this book. These figures of speech are often unclear. If they have sexual meanings, figures of speech describing feelings or emotions are often used to avoid offense by hiding their meaning. However, since their meanings are often unclear, ambiguity in translation is encouraged. You can translate the words as they are written in order to avoid committing to a specific meaning. (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:intro	xrm2				0	# Song of Songs 1 General Notes\n\n## Special concepts in this chapter\n\n### Kisses\n\nThe kisses in this chapter are a type of kiss that was only done between a husband a wife. It is an intimate kiss. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### Love and affection\n\nThis chapter is centered on the feelings of love, affection, and attraction. Different cultural standards may make translation difficult and the translator may use euphemisms to avoid offending people. (See: [[rc://*/ta/man/translate/figs-euphemism]])\n\n## Important figures of speech in this chapter\n\n### Metaphors\n\nIn the ancient Near East, it was common to describe a woman using metaphors involving animals. In many cultures today, this can be considered offensive. Different metaphors of beauty are used in different cultures. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n## Other possible translation difficulties in this chapter\n\n### “I am dark”\nIn the ancient Near East, rich people usually had lighter skin because they did not need to work outside in the sun. This young woman had to work out in the sun, and her skin became darker than it was when she was younger.
1:1	dsf1		rc://*/ta/man/translate/writing-poetry	שִׁ֥יר הַ⁠שִּׁירִ֖ים אֲשֶׁ֥ר לִ⁠שְׁלֹמֹֽה	1	This verse is the title of this book. Use whatever formatting convention is most natural in your language for indicating that something is the title of a poem or song. The ULT places this line further to the left than the other lines in this book to indicate that this verse is the title of the book.
1:1	qbe2		rc://*/ta/man/translate/figs-possession	שִׁ֥יר הַ⁠שִּׁירִ֖ים	1	The possessive form is being used here to indicate a comparison with other songs and to show that this **song** is the best or greatest of all **songs**. If it would be helpful in your language, you could use another form to indicate this. Alternate translation: “The best song” or “The most excellent song” or “The greatest song”
1:1	r5ns			לִ⁠שְׁלֹמֹֽה	1	The phrase **of Solomon** could mean: (1) Solomon wrote this song. Alternate translation: “Solomon wrote” (2) this song was dedicated to Solomon. Alternate translation: “is dedicated to Solomon” (3) this song was about Solomon. Alternate translation: “is about Solomon” 
1:2-4	fna4		rc://*/ta/man/translate/writing-poetry	יִשָּׁקֵ֨⁠נִי֙ מִ⁠נְּשִׁיק֣וֹת פִּ֔י⁠הוּ כִּֽי־טוֹבִ֥ים דֹּדֶ֖י⁠ךָ מִ⁠יָּֽיִן׃ לְ⁠רֵ֨יחַ֙ שְׁמָנֶ֣י⁠ךָ טוֹבִ֔ים שֶׁ֖מֶן תּוּרַ֣ק שְׁמֶ֑⁠ךָ עַל־כֵּ֖ן עֲלָמ֥וֹת אֲהֵבֽוּ⁠ךָ׃ 	1	These lines of poetry most likely indicate thoughts or words that the woman is speaking or thinking to herself while she is alone. Your language may have a way of indicating speech that is expressed toward a person who is not present to hear what is being said.
1:2	j5xq				0	# General Information:\n\nThe first part of the book begins with this verse.
1:2	tulv		rc://*/ta/man/translate/writing-poetry	יִשָּׁקֵ֨⁠נִי֙ מִ⁠נְּשִׁיק֣וֹת	1	The author is using an emphatic form to indicate the fervor and intensity of the desired kisses. Consider using a natural way in your language to indicate this. Alternate translation: “Let him kiss me again and again with the kisses of” or “Let him cover my face with the kisses of”
1:2	d9mu		rc://*/ta/man/translate/figs-yousingular	דֹּדֶ֖י⁠ךָ	1	In this book every occurrence of the words **you** and **your** are singular. Your language may require you to mark these forms.
1:2	th64		rc://*/ta/man/translate/figs-abstractnouns	טוֹבִ֥ים דֹּדֶ֖י⁠ךָ	1	If your language does not use an abstract noun for the idea of **love**, you could express the same idea with a verbal form or in another way. Alternate translation: “the way you love me is better” or “your loving is better”
