Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	syt5				0	# Introduction to Joshua\n\n## Part 1: General Introduction\n\n### Outline of the Book of Joshua\n\n1. Conquest of the land of Canaan (1:1–12:24)\n    * Preparation for conquest; spies; crossing the Jordan River (1:1–5:1)\n    * Ceremonies at Gilgal; conquest of Jericho and Ai (5:2–8:29)\n    * The covenant affirmed at Shechem (8:30–35)\n    * Southern and central campaigns; northern campaigns (9:1–12:24)\n1. Settlement in the Promised Land; division of the land (13:1–22:34)\n1. Joshua’s final days (23:1–24:33)\n\n### What is the Book of Joshua about?\n\nThe Book of Joshua is about the Israelites entering and occupying the Promised Land. Joshua was the leader that replaced Moses. He led the Israelites as they fought the people living in the Promised Land. This book also tells how the Israelites divided the land among the twelve tribes. (See: [[rc://*/tw/dict/bible/kt/promisedland]])\n\n### How should the title of this book be translated?\n\nThis book traditionally has the title “Joshua” because Joshua leads the people of Israel after Moses dies. Translators may create a title such as “The Book About When Joshua Led Israel.” Translators should avoid a title that suggests Joshua as the writer of the book.\n\n### Who wrote the Book of Joshua?\n\nThe book does not tell who wrote it. However, some verses in the book indicate that Joshua may have written at least part of it. Since ancient times, Jews have thought that Joshua wrote most of the book.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### How does the Book of Joshua present the cause of historical events?\n\nIn the ancient Near East, people assumed that gods caused world events to happen in a certain way. The Book of Joshua has some similarities with this view, but there are important differences. The events in the Book of Joshua occurred because Yahweh promised the Israelites that he would give them the Promised Land. What happened also depended on whether or not the Israelites obeyed Yahweh.\n\n## Part 3: Important Translation Issues\n\n### What does the phrase “to this day” mean?\n\nThis phrase was used by the writer to refer to the time when he was writing. The translator should be aware that “to this day” refers to a time already passed. He must avoid giving the impression to readers that “to this day” means “to the present day.” The translator might decide to say “to this day, at the time when this was being written,” or “to this day, at the time of writing.” This Hebrew phrase occurs in Joshua 4:9; 6:25; 7:26; 8:28, 29; 10:27; 13:13; 14:14; 15:63; 16:10.\n\n### What does the phrase “all Israel” mean?\n\nThis phrase appears many times in the Book of Joshua, but it does not always mean every person in the nation of Israel. At times it means the Israelite army. At other times it means the representatives of the twelve tribes of Israel. In still other passages, it probably means a large number of the people in the nation of Israel.\n\n### When should Joshua be translated?\n\nThe Book of Joshua should probably not be translated before Genesis, Exodus, Leviticus, Numbers, and Deuteronomy. This is because the historical events of Joshua will not be understood without the information in these previous books.
1:intro	r7gc				0	# Joshua 1 General Notes\n\n## Structure and Formatting\n\nThis chapter appears to be a natural continuation of the book of Deuteronomy.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Be strong and Courageous\n\nJoshua is often told, “Be strong and courageous.” This repeated encouragement is on purpose and may indicate Joshua will need help in the future.\n\n### Crossing the Jordan River\n\nIn this chapter the words **crossing over** refer to going to the opposite bank of the Jordan River.\n\n### The settling of the the Promised Land by the people of Israel\n\nJoshua [1:12-15](../01/12.md) records that the tribes of Reuben, Gad, and half of the tribe of Manasseh settled on the east side of the Jordan River but that God required the fighting men from these three tribes to accompany the rest of the Israelites to the west side of the Jordan River and help them fight against the people who lived in the land.
1:1	s8u5		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	The author is using this phrase to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:1	eka2		rc://*/ta/man/translate/translate-names	נ֔וּן	1	The word **Nun** is the name of a man, Joshua’s father.
1:2	le23		rc://*/ta/man/translate/grammar-connect-words-phrases	וְ⁠עַתָּה֩	1	The phrase translated as **And now** is an expression that people of this time used to introduce the main business of a message. If your language has a comparable expression that it uses for this same purpose, you can use it in your translation. Alternate translation: “So here is what I want you to do:”
1:2	xugz		rc://*/ta/man/translate/figs-idiom	ק֨וּם	1	Yahweh is using the expression **arise** to tell Joshua to take action and lead the Israelites across the Jordan River to begin the conquest of Canaan. He is not telling him to get out of bed or stand up from a seated position. Alternate translation: “get going”
1:2	o0hj		rc://*/ta/man/translate/figs-metaphor	לִ⁠בְנֵ֥י יִשְׂרָאֵֽל	1	As the General Introduction to Joshua discusses, here and in many places throughout the book, **sons** means “descendants,” so the phrase **sons of** is describing a people group. Alternate translation: “to the people of Israel”
1:2	ragw		rc://*/ta/man/translate/figs-123person	לָ⁠הֶ֖ם לִ⁠בְנֵ֥י יִשְׂרָאֵֽל	1	Since Joshua is one of the **sons of Israel**, Yahweh is referring to him in the third person when he says **them**. If it would be helpful to your readers, you could have Yahweh refer to him in the second person. This would indicate explicitly that Joshua is included in this promise. Alternate translation: “to you and the rest of the sons of Israel” or “to you and all of the other people of Israel”
1:3	t94e		rc://*/ta/man/translate/figs-synecdoche	כָּל־מָק֗וֹם אֲשֶׁ֨ר תִּדְרֹ֧ךְ כַּֽף־רַגְלְ⁠כֶ֛ם בּ֖⁠וֹ	1	Yahweh is using part of each of the Israelites, **the sole of your foot**, to represent the people of Israel themselves. If it would be helpful in your language, you could use an equivalent expression from your culture or state the meaning plainly. Alternate translation: “Every place that you will tread upon”
1:3	xjc9		rc://*/ta/man/translate/figs-yousingular	רַגְלְ⁠כֶ֛ם…לָ⁠כֶ֣ם	1	Here, the words **your** and **you** are plural and refer to Joshua and all the other Israelite people. It may be more natural in your language to use a plural form of **foot** and to indicate specifically that **you** is plural. Alternate translation: “your feet … to all of you”
1:3	v1l7		rc://*/ta/man/translate/figs-pastforfuture	לָ⁠כֶ֣ם נְתַתִּ֑י⁠ו	1	Yahweh is using the past tense in order to refer to something that he will do in the future. He is doing this to show that the event will certainly happen. If it would be helpful in your language, you could use the future tense. Alternate translation: “I will give it to you” or “I will certainly give it to you”
1:4	xqnb		rc://*/ta/man/translate/translate-names	הַ⁠נָּהָ֧ר הַ⁠גָּד֣וֹל נְהַר־ פְּרָ֗ת	1	The phrase **the Great River** is another name for **the Euphrates River**. Alternate translation: “the Great River, that is, the Euphrates River”
1:4	nffx		rc://*/ta/man/translate/figs-explicit	הַ⁠יָּ֥ם הַ⁠גָּד֖וֹל	1	The phrase **the Great Sea** is another name for the Mediterranean Sea. You could clarify that for your readers if that would be helpful. Alternate translation: “the Great Sea, that is, the Mediterranean Sea”
1:4	pust		rc://*/ta/man/translate/figs-metonymy	מְב֣וֹא הַ⁠שָּׁ֑מֶשׁ	1	Yahweh is using **the going of the sun**, that is, the sunset, by association to mean the west, since the sun sets in the west. Alternate translation: “in the west”
1:4	nbe3		rc://*/ta/man/translate/figs-yousingular	גְּבוּלְ⁠כֶֽם	1	Here, the word **your** is plural and refers to the tribes of Israel and includes Joshua. Alternate translation: “the territory of you Israelites”
1:5	l58e		rc://*/ta/man/translate/figs-explicit	לֹֽא & אִישׁ֙	1	Since the book of Joshua describes how the kings of cities and kingdoms led their soldiers into battle to oppose Joshua, the phrase **No man** seems implicitly to mean “No king and his army” or more broadly “No people group.” If it would be helpful to your readers, you could indicate that explicitly. Alternate translation: “No king and his army” or “No people group.”
1:5	rk2g		rc://*/ta/man/translate/figs-explicit	יִתְיַצֵּ֥ב & לְ⁠פָנֶ֔י⁠ךָ	1	In this context, the word **stand** means “resist” or “withstand.” The phrase **to your face** either means “in front of you,” with **face** meaning by association the area in front of Joshua, or “against you,” with part of Joshua, his **face**, representing all of him. You could indicate this overall meaning explicitly in your translation if that would be helpful to your readers. Alternate translation: “will be able to resist you”
1:5	w48w		rc://*/ta/man/translate/figs-yousingular	לְ⁠פָנֶ֔י⁠ךָ & חַיֶּ֑י⁠ךָ & עִמָּ֔⁠ךְ & אַרְפְּ⁠ךָ֖ & אֶעֶזְבֶֽ⁠ךָּ	1	As the General Notes to this chapter discuss,  the words **you** and **your** are singular in this verse and through verse 9, since they refer to Joshua. So use singular forms in your translation if your language marks that distinction.
1:5	iq2e		rc://*/ta/man/translate/figs-doublet	לֹ֥א אַרְפְּ⁠ךָ֖ וְ⁠לֹ֥א אֶעֶזְבֶֽ⁠ךָּ	1	The words **abandon** and **leave** mean basically the same thing. Yahweh combines them to emphasize that he will not do these things. If it would be clearer for your readers, you could express the emphasis with a single phrase. It may be more natural in your language to use a positive statement to do that. Alternate translation: “I will not ever abandon you” or “I will certainly stay with you always”
1:6	a5yc		rc://*/ta/man/translate/figs-parallelism	חֲזַ֖ק וֶ⁠אֱמָ֑ץ	1	The phrases **Be strong** and **be courageous** mean similar things. Yahweh is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “Be very courageous”
1:6	gn34		rc://*/ta/man/translate/figs-metaphor	לַ⁠אֲבוֹתָ֖⁠ם	1	Here, **fathers** means “ancestors” and refers specifically to Abraham, Isaac, and Jacob. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “to their forefathers” or “to their forefathers Abraham, Isaac, and Jacob”
1:7	xle4		rc://*/ta/man/translate/figs-parallelism	חֲזַ֨ק וֶֽ⁠אֱמַ֜ץ מְאֹ֗ד	1	These are the same two phrases that occurred in the previous verse, except the word **very** is added here for increased emphasis. See how you translated the phrase “Be strong and be courageous” in the previous verse and consider how you might add even more emphasis here. Alternate translation: “Be entirely courageous”
1:7	fi6s		rc://*/ta/man/translate/figs-metaphor	אַל־תָּס֥וּר מִמֶּ֖⁠נּוּ	1	Yahweh is speaking as if **the law that Moses … commanded** were literally a road that Joshua was walking on and as if Joshua might **turn aside from** it and walk on a different path. He means that Joshua must not stop living in the manner in which God commanded in the law. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “Do not stop obeying it”
1:7	db9m		rc://*/ta/man/translate/figs-merism	יָמִ֣ין וּ⁠שְׂמֹ֑אול	1	Yahweh is speaking of two things in order to mean them and everything in between. Continuing the image of the road, he means that Joshua should not go off the road in any direction. If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: “in any way”
1:8	g4qg		rc://*/ta/man/translate/figs-metonymy	לֹֽא־יָמ֡וּשׁ סֵפֶר֩ הַ⁠תּוֹרָ֨ה הַ⁠זֶּ֜ה מִ⁠פִּ֗י⁠ךָ	1	Yahweh is using the phrase **shall not depart from your mouth** by association to mean that Joshua must continually read the **book of the law**, since people at this time read out loud, even when reading alone, so Joshua would use his mouth to form the words as he read. (However, this is not a command to read only alone. It envisions that Joshua might at times read the law aloud to the people of Israel.) Alternate translation: “You shall not stop reading this book of the law”
1:8	vu2t		rc://*/ta/man/translate/figs-merism	יוֹמָ֣ם וָ⁠לַ֔יְלָה	1	Yahweh is referring to the two main components of time, **day** and **night**, to mean “all the time.” If it would be helpful in your language, you could use an equivalent expression or plain language. Alternate translation: “continually”
1:8	lcs7		rc://*/ta/man/translate/figs-parallelism	תַּצְלִ֥יחַ אֶת־דְּרָכֶ֖⁠ךָ וְ⁠אָ֥ז תַּשְׂכִּֽיל	1	The phrases **you will make your ways prosperous** and **you will succeed** mean similar things. Yahweh is using the two phrases together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “you will assuredly be successful”
