Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	spe4				0	# Introduction to Proverbs\n\n## Part 1: General Introduction\n\n### Outline of Proverbs\n\n1. Introduction and purpose for Proverbs (1:1–7)\n2. A father teaches his son about wisdom (1:8–9:18)\n3. Proverbs from Solomon (10:1–22:16)\n4. Sayings from wise men (22:17–24:22)\n5. More sayings from wise men (24:23–34)\n6. Hezekiah’s proverbs from Solomon (25:1–29:27)\n7. Sayings from Agur (30:1–33)\n8. Sayings from Lemuel (31:1–9)\n9. Description of a good and capable wife (31:10–31)\n\n### What is the Book of Proverbs about?\n\nThe Book of Proverbs is a collection of proverbs. A proverb is a saying that gives wise advice or teaches something that is generally true about life. Most societies have their own proverbs and may use specific language that indicates something is a proverb. (See: [[rc://*/ta/man/translate/writing-proverbs]])\n\n### How should the title of this book be translated?\n\nThe title of this book is often translated as “Proverbs.” A more general translation would be “Sayings for Wise People,” “Wise Sayings,” or something similar.\n\n### Who wrote the Book of Proverbs?\n\nProverbs begins with the words, “The Proverbs of Solomon, son of David and King of Israel.” However, Solomon did not write all of the proverbs in this book. Unnamed wise men wrote the proverbs in [22:17](../22/17.md)–[24:34](../24/34.md). Agur the son of Jakeh wrote the proverbs in [30:1–33](../30/01.md) and King Lemuel wrote the proverbs in [31:1–31](../31/01.md).\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What is meant by “wisdom” and “foolishness” in the Book of Proverbs?\n\n“Wisdom” refers to understanding and doing what is true and morally right. A wise person understands and does what Yahweh considers to be right. Anyone living in this way will also learn to live well with other people and to make good practical decisions in life. Those who fail to live in this way are called “foolish.” For this reason, it is possible for a person to be very intelligent and still be foolish. (See: [[rc://*/tw/dict/bible/kt/wise]] and [[rc://*/tw/dict/bible/kt/foolish]])\n\n## Part 3: Important Translation Issues\n\n### Parallelism\n\nMany proverbs have two parts that have a relationship to each other. The second part may strengthen the first part, give more details about the first part, or say what seems to be the opposite of the first part. Translators should take into account that each proverb is also part of a larger group of proverbs. (See: [[rc://*/ta/man/translate/figs-parallelism]])\n\n### Personification\n\nIn Proverbs, certain qualities such as wisdom and stupidity are often represented as if they were human. [Proverbs 1:20–33](../01/20.md), [3:15–18](../03/15.md), [4:6–9](../04/06.md), and [8:1](../08/01.md)–[9:12](../09/12.md) refer to wisdom as if it were a woman. [Proverbs 9:13–18](../09/13.md) might also refer to stupidity as if it were a woman. In languages where it is possible for a woman figure to represent these qualities, the translator should translate in this way. However, if direct translation is not possible in your language, you may translate these personifications as similes instead. In that case, wisdom or folly would be presented as being like a wise or stupid woman. (See: [[rc://*/ta/man/translate/figs-personification]])
1:intro	y4et				0	# Proverbs 1 General Notes\n\n## Structure and formatting\n\n1. Introduction and purpose for Proverbs (1:1–7)\n    * Title (1:1)\n    * The Purpose of Proverbs (1:2–6)\n    * Main Theme: Fearing Yahweh is essential to being wise (1:7)\n2. A father teaches his son about wisdom (1:8–9:18)\n    * Avoid evil companions (1:8–19)\n    * Do not reject wisdom (1:20–33)\n\n## Special concepts in this chapter\n\n### My Son\n\nOccasionally, Solomon addresses a series of proverbs to “my son” or “sons.” This does not mean that those proverbs only apply to males. Instead, these phrases are forms used to pass on advice from a father to his son, and the kind of advice in these proverbs is about common temptations of young men.\n\n## Important figures of speech in this chapter\n\n### Personification\n\nIn [1:20–33](../01/20.md), wisdom is referred to as if it were a woman. In languages where it is possible for a woman figure to represent an abstract concept like wisdom, the translator should translate the personification directly. However, if direct translation is not possible in your language, you may translate these personifications as similes instead. In that case, wisdom would be presented as being like a wise woman. (See: [[rc://*/ta/man/translate/figs-personification]])
1:1	ej1t		rc://*/ta/man/translate/figs-ellipsis	מִ֭שְׁלֵי שְׁלֹמֹ֣ה	1	The author is leaving out some of the words that in many languages a clause would need in order to be complete. You could supply these words from earlier in the sentence if it would be clearer in your language. Alternate translation: “These are the proverbs of Solomon”
1:1	q6pn		rc://*/ta/man/translate/figs-possession	מִ֭שְׁלֵי שְׁלֹמֹ֣ה	1	Here, the author is using the possessive form to describe **proverbs** that were written by **Solomon**. If this is not clear in your language, you could state this explicitly. Alternate translation: “The proverbs that were written by Solomon”
1:2	sah7		rc://*/ta/man/translate/figs-ellipsis	לָ⁠דַ֣עַת חָכְמָ֣ה וּ⁠מוּסָ֑ר	1	[1:2–6](../01/02.md) are one long sentence that lacks some of the words that a sentence in many languages would need in order to be complete. You could supply these words from the context if it would be clearer in your language. Alternate translation: “The purposes of proverbs are to know wisdom and instruction”
1:2	i8k2		rc://*/ta/man/translate/grammar-connect-logic-goal	לָ⁠דַ֣עַת & לְ֝⁠הָבִ֗ין	1	**To** and **to** here indicate two purposes for proverbs. Use a natural way in your language for introducing purpose clauses. Alternate translation: “These proverbs are for the purpose of knowing … and they are for the purpose of understanding”
1:2	iaq1		rc://*/ta/man/translate/figs-abstractnouns	חָכְמָ֣ה וּ⁠מוּסָ֑ר	1	If your language does not use abstract nouns for the ideas of **wisdom** and **instruction**, you could express the same ideas in another way. Alternate translation: “wise and instructive things”
1:2	rs3p		rc://*/ta/man/translate/figs-possession	אִמְרֵ֥י בִינָֽה	1	Here, the author is using the possessive form to describe **sayings** that give a person **understanding**. If this is not clear in your language, you could use a different expression. Alternate translation: “sayings that give someone understanding”
1:3	ew1z		rc://*/ta/man/translate/grammar-connect-logic-goal	לָ֭⁠קַחַת מוּסַ֣ר	1	Here, **to** indicates a third purpose for proverbs. Use a natural way in your language for introducing a purpose clause. You may want to begin a new sentence. Alternate translation: “These proverbs are for the purpose of receiving instruction of”
1:3	aun5		rc://*/ta/man/translate/figs-abstractnouns	מוּסַ֣ר הַשְׂכֵּ֑ל צֶ֥דֶק וּ֝⁠מִשְׁפָּ֗ט וּ⁠מֵישָׁרִֽים	1	If your language does not use abstract nouns for the ideas of **instruction**, **insight**, **righteousness**, **justice**, and **integrity**, you could express the same ideas in another way. Alternate translation: “what is instructive of what is insightful, what is righteous, what is just, and what is honest”
