Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	x7kl				0	# Introduction to Nahum\n\n## General Introduction\n\n### Outline of the Book of Nahum\n\n1. Nahum introduces this book (1:1)\n1. Yahweh will destroy his enemies (1:2–6)\n1. Yahweh cares for his people and will destroy Nineveh (1:7-15)\n1. Nahum describes how Nineveh will fall (2:1–3:19)\n\n### What is the Book of Nahum about?\n\nThe Book of Nahum contains prophecies about how Yahweh would judge and punish Nineveh.\n\nNineveh was the capital city of the Assyrian Empire. The Assyrian Empire was very powerful and cruel and was conquering and absorbing the kingdoms all around it. The Assyrians had already conquered the northern kingdom of Israel. They were threatening the southern kingdom of Judah. The audience of the book is the people of Judah. This book was to encourage their faith in God and to give them confidence that the Assyrians would be defeated.\n\n### How should the title of this book be translated?\n\n“The Book of Nahum” or just “Nahum” is the traditional title of this book. Translators may choose to call it “The Prophecies of Nahum.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Nahum?\n\nThe prophet Nahum spoke these prophecies and either he or one of his disciples wrote them down. Nahum was a prophet from Elkosh, an unknown city, probably in Judah.\n\nNahum mentions the destruction of Thebes, a city in Egypt, as a past event, which happened about 663 B.C. He prophesied about the destruction of Nineveh, which happened in 612 B.C. Therefore, the Book of Nahum was written sometime between 663 and 612 B.C. (See: [[rc://*/tw/dict/bible/kt/prophet]])\n\n## Translation Issues \n\n### Personification\n\nIn this prophecy, Yahweh often addresses the people of Judah and the people of Nineveh as simply “Judah” and “Nineveh,” using the names of the nation and city to represent the people. He also uses verbs in the singular that describe the nation or city doing things that people do, such as Judah wearing a yoke and shackles [1:13](../01/13.md) or celebrating festivals and fulfilling vows [1:15](../01/15.md). He describes Nineveh as a soldier who guards walls, watches a road, and strengthens his loins [2:1](../02/01.md), and also as a prostitute whom Yahweh will strip naked and cover with filth [3:4-6](../03/04.md), and as a drunkard who hides himself [3:11](../03/11.md). If it is not clear that these things describe the people as a whole, you could explain this in a footnote or use one of the ideas in [personification]([[rc://*/ta/man/translate/figs-personification]]).\n\n### Short, unconnected statements\n\nIn the descriptions of the battle for Nineveh, Nahum uses short statements that are not connected to the rest of the prophecy. For example, it is difficult to tell who “He” and “they” are in 2:5 or who is saying “Stop, stop” in 2:8. There is no explanation of who the statements of 2:10 apply to, “Empty and desolate and ruined! And the heart is melted, and a shaking of knees, and anguish {is} in all loins, and all of their faces gather beauty.” The statements of 3:1-3 are similar. The reason seems to be that Nahum is reproducing in his description the confusion and anguish and overwhelming of the senses that occur in battle. Try to reproduce this effect in your translation in a way that makes sense in your language.\n\n
1:intro	fa8i				0	# Nahum 1 General Notes\n\n## Structure and Formatting\n\nSome translations prefer to set apart extended quotations, prayers and songs. The ULT and many other English translations set the lines of the entire book (except for verse 1 of this chapter) farther to the right on the page than regular text to show that they are poetic prophecy. (See: [[rc://*/tw/dict/bible/kt/prophet]])\n\nDespite being divided into three chapters, this book consists of one long prophecy.\n\n### Outline of chapter 1\n\n1. Nahum introduces this book (1:1)\n1. Yahweh will destroy his enemies (1:2–6)\n1. Yahweh cares for his people and will destroy Nineveh (1:7-15)\n\n## Religious and Cultural Concepts in This Chapter\n\n### Yahweh’s anger against Nineveh\n\nThis prophecy should be read in reference to the book of Jonah. That book described how the people of Nineveh, Assyria’s capital city, repented when Jonah warned them that Yahweh was angry at them. The book of Nahum, written a little over one hundred years later than the book of Jonah, indicates that the Ninevites had returned to their evil ways and would soon be punished by God. Reading the two books together shows God’s mercy and patience and also his anger and judgement for cruelty, evil, and sin.\n\n### Complete destruction\n\nAt the time of Nahum’s prophecy, Assyria controlled almost the entire Near East. They were terribly violent and cruel to the peoples that they conquered, including Israel. Because of this, Nahum prophesied that the Assyrians would be completely destroyed as a nation and as a people (1:14). This prophecy came true very suddenly in 612 B.C.\n\n## Translation Issues in This Chapter\n\n### Direct Address\n\nThe audience for this book is the people of Judah. They are in danger of attack by the cruel and powerful nation of Assyria, represented in this book by its capitol, Nineveh. This chapter begins by describing Yahweh’s anger at his enemies and love for his people. Then Yahweh begins to address Nineveh directly in verse 9 and continues to do so in various places throughout the book. The people of Nineveh are not part of the audience of this book, however. The address to Nineveh is intended to show the people of Judah Yahweh’s attitude towards the people of Nineveh and their evil actions. This direct address is also to let the people of Judah know that Yahweh will destroy Nineveh. Yahweh also addresses Judah directly in verses 12, 13, and 15.  
1:1	ab12		rc://*/ta/man/translate/figs-metaphor	מַשָּׂ֖א	1	Here the author is speaking of a message as though it were a **burden**, that is, a heavy load to carry. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “message about”
1:1	ab34		rc://*/ta/man/translate/translate-unknown	הָ⁠אֶלְקֹשִֽׁי	1	An **Elkoshite** is someone from a place called Elkosh. If your readers would not be familiar with this place, you could use a more general term.
1:2	ab56		rc://*/ta/man/translate/figs-abstractnouns	נֹקֵ֤ם & לְ⁠צָרָ֔י⁠ו	1	If your language does not use an abstract noun for the idea of **vengeance**, you could express the same idea in another way. Alternate translation: “punishes”
1:2	ab78		rc://*/ta/man/translate/figs-ellipsis	וְ⁠נוֹטֵ֥ר & לְ⁠אֹיְבָֽי⁠ו	1	The author is leaving out some of the words that in many languages a sentence would need in order to be complete. You could supply “anger“ from earlier in the sentence if it would be clearer in your language. Alternate translation: “maintains anger against those who hate him”
1:3	ab89		rc://*/ta/man/translate/figs-idiom	אֶ֤רֶךְ אַפַּ֨יִם֙	1	Here, **long of nostrils** is an idiom that means “slow to become angry.” If this phrase does not have that meaning in your language, you could use an idiom from your language that does have that meaning or state the meaning plainly. Alternate translation: “patient” or “slow to anger”
1:3	ac12		rc://*/ta/man/translate/figs-abstractnouns	ו⁠גדול־כֹּ֔חַ	1	If your language does not use an abstract noun for the idea of **power**, you could express the same idea in another way. Alternate translation: “very powerful”
1:3	ac34		rc://*/ta/man/translate/figs-reduplication	וְ⁠נַקֵּ֖ה לֹ֣א יְנַקֶּ֑ה	1	The author is repeating the verb **acquit** in order to intensify the idea that it expresses. If your language can repeat words for intensification, it would be appropriate to do that here in your translation. If not, your language may have another way of expressing the emphasis. Alternate translation: “he will certainly not leave the guilty unpunished”
1:4	ac56		rc://*/ta/man/translate/figs-metaphor	גּוֹעֵ֤ר	1	Here the author says that Yahweh **rebukes** the sea as if Yahweh were scolding the sea like a person. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “commands the sea to be still”
