Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	xx8l				0	# Introduction to Revelation\n\n## Part 1: General Introduction\n\n### Outline of the Book of Revelation\n\n1. Opening (1:1-20)\n2. Letters to the Seven Churches (2:1-3:22)\n3. Vision of God in Heaven, and a Vision of the Lamb with a Seven-sealed Scroll (4:1-5:14)\n4. The Seven Seals (6:1-8:1)\n5. The Seven Trumpets (8:2-11:19)\n6.  Preparations for the Seven Bowls (12:1-14:20)\n  A. The Woman, the Child, and the Dragon (12:1-18)\n  B. The Beast from the Sea (13:1-10)\n  C. The Beast from the Land (13:11-18)\n  D. The Lamb's Overcomers, the Victory of the Martyrs, and the Harvest for        God's Wine Press (14:1-20)\n7. The Seven Bowls (15:1-18:24)\n8. Worship in Heaven (19:1-10)\n9. The Lamb’s Judgment, the Defeat of the Beast, the Thousand Years, the Defeat of Satan, and the Final Judgment (20:11-15)\n10. The New Creation and the New Jerusalem (21:1-22:5)\n11. Jesus' Promise to Return, the Witness of the Angels, John’s Closing Words, Christ’s Message to his Church, the Invitation and the Warning (22:6-21)\n\n### Who wrote the Book of Revelation?\n\nThe author identified himself as John. This was probably the Apostle John. He wrote the Book of Revelation while on the island of Patmos. The Romans exiled John there for teaching people about Jesus.\n\n### What is the Book of Revelation about?\n\nJohn wrote the Book of Revelation to encourage believers to remain faithful even when they are suffering. John described visions he had of Satan and his followers fighting against and killing believers. In the visions God causes many terrible things to happen on the earth to punish wicked people. In the end, Jesus defeats Satan and his followers. Then Jesus comforts those who were faithful. And the believers will live forever with God in the new heavens and earth.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by one of its traditional titles, “Revelation,” “The Revelation of Jesus Christ,” “The Revelation to Saint John,” or “The Apocalypse of John.” Or they may choose a possibly clearer title, such as “The Things that Jesus Christ Showed to John.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### What type of writing is the Book of Revelation?\n\nJohn used a special style of writing to describe his visions. John described what he saw by using many symbols. This style of writing is called symbolic prophecy or apocalyptic literature. (See: [[rc://*/ta/man/translate/writing-apocalyptic]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Are the events of Revelation past or future?\n\nSince early Christian times, scholars have interpreted Revelation differently. Some scholars think John described events that happened during his time. Some scholars think John described events happening from his time until the return of Jesus. Other scholars think John described events that will happen in a short period of time just before Christ returns.\n\nTranslators will not need to decide how to interpret the book before they translate it. Translators should leave the prophecies in the tenses that are used in the ULT.\n\n### Are there any other books in the Bible like Revelation?\n\nNo other book of the Bible is like the Book of Revelation. But, passages in Ezekiel, Zechariah, and especially Daniel are similar in content and style to Revelation. It may be beneficial to translate Revelation at the same time as Daniel since they have some imagery and style in common.\n\n## Part 3: Important Translation Issues\n\n### Does one need to understand the Book of Revelation to translate it?\n\nOne does not need to understand all of the symbols in the Book of Revelation to translate it properly. Translators should not give possible meanings for the symbols or numbers in their translation. (See: [[rc://*/ta/man/translate/writing-apocalyptic]])\n\n### How are the ideas of “holy” and “sanctify” represented in Revelation in the ULT?\n\nThe scriptures use these words to indicate any one of various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating Revelation into English, the ULT uses the following principles:\n\n* The meaning in two passages indicates moral holiness. Here, the ULT uses “holy.” (See: 14:12; 22:11)\n* Usually the meaning in Revelation indicates a simple reference to Christians without implying any particular role filled by them. In these cases, the ULT uses “believer” or “believers.” (See: 5:8; 8:3, 4; 11:18; 13:7; 16:6; 17:6; 18:20, 24; 19:8; 20:9)\n* Sometimes the meaning implies the idea of someone or something set apart for God alone. In these cases, the ULT uses “sanctify,” “set apart,” “dedicated to,” or “reserved for.”\n\nThe UST will often be helpful as translators think about how to represent these ideas in their own versions.\n\n### Periods of time\n\nJohn referred to various periods of time in Revelation. For example, there are many references to forty-two months, seven years, and three and a half days. Some scholars think these time periods are symbolic. Other scholars think these are actual time periods. The translator should treat these time periods as referencing actual periods of time. It is then up to the interpreter to determine their significance or what they may represent.\n\n### The verb “Behold” which occurs often in the book of Revelation\n\n**Behold** is a word that focuses the attention of the listener on what the speaker is about to say or do. The word literally means “look!” or “see!” However, in this case, the expression denotes the act of seeing figuratively by means of giving notice and attention. If this might confuse your readers, you could express the meaning plainly. Alternate translation: “Listen carefully!” (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n## Special concepts or frequent themes in the book of Revelation\n\n### Trumpet\n\nA trumpet was an instrument for making a loud sound that, in John’s time, was probably made of metal. Usually trumpets are instruments for producing music or for calling people to gather together for an announcement or meeting. If you do not have trumpets in your culture, use a word in your language for a loud instrument. (See: [[rc://*/ta/man/translate/translate-unknown]])\n\n### Scroll\n\nIn ancient times, a scroll was a type of book made of one long, rolled-up sheet of papyrus or leather. After writing on a scroll or reading from it, people rolled it up by using the rods attached to its ends. Scrolls were used for legal documents and scripture. Sometimes scrolls that were delivered by a messenger were sealed with wax. If the wax was still present when the scroll was received, then the receiver knew that no one had opened the scroll to read it or write on it since it had been sealed. Alternate translation: “a scroll with writing on the front and the back” (See: [[rc://en/ta/man/translate/translate-unknown]])\n\n### Seal\n\nIn ancient times, seals represent pieces of wax that secured documents closed. Melted wax was used to seal letters or other documents that needed to be protected. When the wax cooled and hardened, the letter could not be opened without breaking the wax seal. The person who received the letter would see the unbroken seal and know that no one had opened it. Alternate translation: “and it had seven seals keeping it closed” (See: [[rc://*/ta/man/translate/translate-unknown]])\n\n### The Seven Spirits\n\nThe number "seven" is often used in the Bible as a symbol for completeness and perfection. Here, the "seven spirits" could refer to: (1) The Spirit of God that is described with seven attributes in [Isaiah 11:2](../isa/11/02.md). Alternate translation: “the sevenfold Holy Spirit”. (2) Seven individual spirits which serve God and that also might be the “seven angels” in [8:2](../08/02.md). Alternate translation: “the seven spirit beings” or “the seven angelic spirits” (See: [[rc://*/ta/man/translate/writing-symlanguage]])\n\n## What are the major issues in the text of the Book of Revelation?\n\nFor the following verses, some modern versions of the Bible differ from older versions. The ULT text has the modern reading and puts the older reading in a footnote. If a translation of the Bible exists in the general region, translators should consider using the reading found in those versions. If not, translators are advised to follow the modern reading.\n\n* “‘I am the alpha and the omega,’ says the Lord God, ‘the one who is, and who was, and who is to come, the Almighty’” (1:8). Some versions add the phrase “the Beginning and the End.”\n* “the elders prostrated themselves and worshiped” (5:14). Some older versions read, “the twenty-four elders prostrated themselves and worshiped the one who lives forever and ever.”\n* “so that a third of it \\[the earth\\] was burned up” (8:7). Some older versions do not include this phrase.\n* “the one who is and who was” (11:17). Some versions add the phrase “and who is to come.”\n* “they are blameless” (14:5). Some versions add the phrase “before the throne of God” (14:5).\n* “the one who is and who was, the Holy One” (16:5). Some older versions read, “O Lord, the One who is and who was and who is to be.”\n* “The nations will walk by the light of that city” (21:24). Some older versions read, “The nations that are saved will walk by the light of that city.”\n* “Blessed are those who wash their robes” (22:14). Some older versions read “Blessed are those who do his commandments.”\n* “God will take away his share in the tree of life and in the holy city” (22:19). Some older versions read, “God will take away his share in the book of life and in the holy city.” (See: [[rc://*/ta/man/translate/translate-textvariants]])\n
1:intro	u1e2				0	# Revelation 1 General Notes\n\n## Structure and formatting\n\n### Outline of Chapter One of Revelation\n\nI. The Introduction to Revelation\n\nA. The Prologue (1:1-8)\n\n1. The Preface (1:1-3)\n2. The Address and the Doxology (1:4-6)\n3. The Book’s Theme (1:7-8)\n\nII. John’s Vision of Christ\n\nB. John’s Appointment to Write the Book of Revelation (1:9-20)\n\n1. The Initial Appointment to Write (1:9-11)\n2. The Source of the Appointment (1:12-16)\n3. The Appointment Repeated and Elaborated (1:17-20)\n\nThis chapter explains how the Book of Revelation records the vision John received on the island of Patmos.\n\nSome translations set quotations from the Old Testament farther to the right on the page to make them easier to read. The ULT does this with the quoted words in verse 7.\n\n## Special concepts in this chapter\n\n### Seven churches\n\nJohn wrote this book to seven actual churches in Asia Minor, which is now the country of Turkey.\n\n### The Seven Spirits\n\nThe number "seven" is often used in the Bible as a symbol for completeness and perfection. Here, the "seven spirits" could refer to: (1) The Spirit of God that is described with seven attributes in [Isaiah 11:2](../isa/11/02.md). Alternate translation: “the sevenfold Holy Spirit”. (2) Seven individual spirits which serve God and that also might be the “seven angels” in [8:2](../08/02.md). Alternate translation: “the seven spirit beings” or “the seven angelic spirits” (See: [[rc://*/ta/man/translate/writing-symlanguage]])\n\n### Seven golden lampstands\n\nThe "seven golden lampstands" refer to seven poles that each hold one or more oil lamps at the top. These seven lamp holders are made of gold. Apparently these lamp holders represent the seven assemblies of believers in the seven cities mentioned in the previous verse. The number "seven" is often used in the Bible as a symbol for completeness and perfection, so it may be that these seven churches represent Christ’s church as a whole, that is, all believers. Alternate translation: “seven golden stands holding oil lamps” (See: [[rc://*/ta/man/translate/writing-symlanguage]])\n\n### Seven stars\n\nThe "seven stars" of [Revelation 1:20](../rev/01/20.md) symbolizes the angels of the seven churches.\n\n\n### White\n\nThe Bible often speaks of something that belongs to a person as being “white.” This is metaphor and metonym for that person living rightly and pleasing God. (See: [[rc://*/ta/man/translate/figs-metaphor]] and [[rc://*/ta/man/translate/figs-metonymy]] and [[rc://*/tw/dict/bible/kt/righteous]])\n\n### “Him who is, and who was, and who is to come”\n\nGod exists now. He has always existed. He will always exist. Your language may have a different way of saying this.\n\n## Important figures of speech in this chapter\n\n### The Seven Spirits\n\nThe number "seven" is often used in the Bible as a symbol for completeness and perfection. Here, the "seven spirits" could refer to: (1) The Spirit of God that is described with seven attributes in [Isaiah 11:2](../isa/11/02.md). Alternate translation: “the sevenfold Holy Spirit”. (2) Seven individual spirits which serve God and that also might be the “seven angels” in [8:2](../08/02.md). Alternate translation: “the seven spirit beings” or “the seven angelic spirits” (See: [[rc://*/ta/man/translate/writing-symlanguage]])\n\n### Blood\n\nBlood is a metonym for death. Jesus “has released us from our sins by his blood.” John means that Jesus saved us from our sins by dying for us. (See: [[rc://*/ta/man/translate/figs-metonymy]])\n\n## Other possible translation difficulties in this chapter\n\n### “He is coming with the clouds”\n\nJesus went into the clouds when he went up to heaven after God raised him from the dead. When Jesus returns, he will also be “with the clouds.” It is not clear whether he will be sitting or riding on clouds or coming in the clouds or “with the clouds” in some other way. Your translation should express this in a way that is natural in your language.\n\n### “One like a son of man”\n\nThis refers to Jesus. You should translate the words “son of man” using the same words as you did in the Gospels for when Jesus called himself the “Son of Man.” The expression "like a son of man" describes a human figure that recalls the same phrase from [Daniel 7:13](../dan/07/13.md). The point of this comparison is that the figure John saw looked like a human. If it would be helpful in your language, you could express this meaning plainly. Alternate translation: “a being that looked like a man” or “a figure that resembled a human being” (See: [[rc://*/ta/man/translate/figs-simile]])\n\n### “The angels of the seven churches”\n\nThe word “angels” here can also mean “messengers.” This might refer to heavenly beings, or to the messengers or leaders of these seven churches. John uses the same word “angel” (singular) in verse 1 and in many other places throughout the book. Your translation should also use the same word.\n\n### The word “to keep” or “to obey”\n\nThe word “to keep” means “to pay attention to” or “to heed” or “to obey”. There are various ways to render the idea or meaning of this word “to keep” as a frequent idiomatic expression in the book of Revelation. Basically, the meaning of this idiom which can vary depending on the context of the book of Revelation. For example, see how you translated “to keep” in [Revelation 1:3](../01/03.md). If your readers would not understand this idiom, you could use an equivalent idiom or use plain language. Alternate translation: “to take to heart” or “to continually consider” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:1	rkh9		rc://*/ta/man/translate/figs-abstractnouns	ἀποκάλυψις Ἰησοῦ Χριστοῦ	1	If your language does not use an abstract noun for the idea of **revelation**, you could express the same idea in another way. Alternate translation: “What God disclosed to Jesus Christ” or “The matters that God revealed to Jesus Christ” (See: [[rc://*/ta/man/translate/figs-abstractnouns]])
1:1	kv41		rc://*/ta/man/translate/figs-possession	ἀποκάλυψις Ἰησοῦ Χριστοῦ	1	This phrase could mean: (1) this book is **revelation** that came to Jesus from God. Alternate translation: “revelation to Jesus Christ” (2) this book is **revelation** that came from Jesus to the author of the book, namely John. Alternate translation: “revelation from Jesus Christ” (See: [[rc://*/ta/man/translate/figs-possession]])
1:1	ik5v		rc://*/ta/man/translate/figs-explicit	τοῖς δούλοις αὐτοῦ	1	Here, **his servants** refers to people who believe in Jesus Christ and serve him as their Lord. If it would be helpful to your readers, you could indicate that explicitly. Alternative translation: “those who serve him” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	x8bu			ἃ δεῖ γενέσθαι ἐν τάχει	1	Alternate translation: “the events that must happen soon”
1:1	kez4		rc://*/ta/man/translate/writing-pronouns	ἐσήμανεν	1	The pronoun **he** here refers to **Jesus Christ** and **it** refers to the **revelation**. If this is not clear to your readers, you could say the meaning explicitly. Alternate translation: “Jesus communicated that revelation” (See: [[rc://*/ta/man/translate/writing-pronouns]])
1:1	hz2w		rc://*/ta/man/translate/translate-names	Ἰωάννῃ	1	**John** is the name of a man who was Jesus’ disciple and one of the original twelve apostles. (See: [[rc://*/ta/man/translate/translate-names]])
1:1	pb4u		rc://*/ta/man/translate/figs-123person	τῷ δούλῳ αὐτοῦ, Ἰωάννῃ	1	The Apostle **John** is referring to himself in the third person here. If this is confusing in your language, you could translate this in the first person. Alternate translation: “to me, John, his servant” (See: [[rc://*/ta/man/translate/figs-123person]])
1:2	tgts		rc://*/ta/man/translate/writing-pronouns	ὃς ἐμαρτύρησεν	1	The subject of this sentence is the author John. If this might confuse your readers, you could start a new sentence here and say the meaning explicitly. Alternate translation: “John testified” or “I, John, testified” (See: [[rc://*/ta/man/translate/writing-pronouns]])
