Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	r2f2				0	# Introduction to the Gospel of Mark\n\n## Part 1: General Introduction\n\n### Outline of the book of Mark\n\n1. Introduction (1:1–13)\n1. The ministry of Jesus in Galilee\n    * Early ministry (1:14–3:6)\n    * Becoming more popular among the people (3:7–5:43)\n    * Moving away from Galilee and then returning (6:1–8:26)\n1. Progress toward Jerusalem; Jesus repeatedly predicts his own death; the disciples misunderstand, and Jesus teaches them how difficult it will be to follow him (8:27–10:52)\n1. Last days of ministry and preparation for final conflict in Jerusalem (11:1–13:37)\n1. The death of Christ and the empty tomb (14:1–16:8)\n\n### What is the book of Mark about?\n\nThe Gospel of Mark is one of four books in the New Testament that describe some of the life of Jesus Christ. The authors of the Gospels wrote about who Jesus was and what he did during his lifetime. Mark wrote much about how Jesus suffered and died on the cross. He did this to encourage his readers who were being persecuted. Mark also explained Jewish customs and some Aramaic words. This may indicate that Mark expected most of his first readers to be Gentiles.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “The Gospel of Mark,” or “The Gospel According to Mark.” They may also choose a title that may be clearer, such as, “The Good News about Jesus that Mark Wrote.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Mark?\n\nThe book does not give the name of the author. However, since early Christian times, most Christians have thought that the author was Mark. Mark was also known as John Mark. He was a close friend of Peter. Mark may not have witnessed what Jesus said and did. Many experts think that Peter the Apostle was the source of what Mark wrote about Jesus.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What were Jesus’ teaching methods?\n\nThe people regarded Jesus as a rabbi. A rabbi is a teacher of God’s law. Jesus taught in ways similar to the ways other religious teachers in Israel. He had students who followed him wherever he went. These students were called disciples. Jesus often taught by telling parables, stories that teach moral lessons. (See: [[rc://*/tw/dict/bible/kt/lawofmoses]] and [[rc://*/tw/dict/bible/kt/disciple]] and [[rc://*/tw/dict/bible/kt/parable]])\n\n## Part 3: Important Translation Issues\n\n### What are the Synoptic Gospels?\n\nThe Gospels of Matthew, Mark, and Luke are called the Synoptic Gospels because they have many similar passages. The word “synoptic” means to “see together.”\n\nThe texts are considered “parallel” when they are the same or almost the same among two or three of the Gospels. When translating parallel passages, translators should use the same wording and make them as similar as possible.\n\n### Why does Jesus refer to himself as the “Son of Man”?\n\nIn the Gospels, Jesus calls himself the “Son of Man.” This phrase could mean a few things:\n* The phrase “son of man” can simply be describing that someone’s father is also a human being. Therefore, the person being described is literally a son of a man, a human being.\n* The phrase sometimes is a reference to Daniel 7:13–14. In this passage there is a person described as a “Son of Man.” This description tells us that the person ascending to the throne of God looked like a human being. This description is different than the first because God gives this Son of Man authority forever. Therefore, the title “Son of Man” became a title for the Messiah.\n\nTranslating the title “Son of Man” can be difficult in many languages. Readers may misunderstand a literal translation. Translators can consider alternatives, such as “The Human One.” It may also be helpful to include a footnote to explain the title.\n\n### Why does Mark frequently use terms indicating short periods of time?\n\nThe Gospel of Mark uses the word “immediately” 42 times. Mark does this to make the events more exciting and vivid. It moves the reader quickly from one event to the next.\n\n### Sabbath/Sabbaths\n\nOften in the culture of the Bible, religious festivals would be written in the plural form of the word instead of a singular form. This occurs in Mark as well. In the ULT, the word should be kept plural, “Sabbaths.” This is simply for the sake of rendering the translated text as close to the original text as possible. In the UST, Sabbaths is changed to singular, Sabbath, to make more sense of the use of the word in its context.\n\n### What are the major issues in the text of the book of Mark?\n\nSome verses found in older versions of the Bible are not included in most modern versions. Translators are advised not to include these verses. However, if there are older versions of the Bible in the translator’s region that include one or more of these verses, the translators can include them. If they are included, they should be surrounded by square brackets ([]) to indicate that they were probably not original to Mark’s Gospel.\n* “If any man has ears to hear, let him hear.” (7:16)\n* “where their worm never dies and the fire is never quenched” (9:44)\n* “where their worm never dies and the fire is never quenched” (9:46)\n* “And the scripture was fulfilled that says, ‘He was counted with the lawless ones’” (15:28)\n\nThe following passage is not found in the earliest manuscripts. Most Bibles include this passage, but modern Bibles put it in brackets ([]) or indicate in some way that this passage may not have been original to Mark’s Gospel. Translators are advised to do something similar to the modern versions of the Bible.\n* “Early on the first day of the week, after he arose, he appeared first to Mary Magdalene, from whom he had cast out seven demons. She went and told those who were with him, while they were mourning and weeping. They heard that he was alive and that he had been seen by her, but they did not believe. After these things he appeared in a different form to two of them, as they were walking out into the country. They went and told the rest of the disciples, but they did not believe them. Jesus later appeared to the eleven as they were reclining at the table, and he rebuked them for their unbelief and hardness of heart, because they did not believe those who saw him after he rose from the dead. He said to them, ‘Having gone into all the world, and preach the gospel to the entire creation. The one having believed and having been baptized will be saved, and the one not having believed will be condemned. These signs will go with the ones believing: In my name they will cast out demons. They will speak in new languages. They will pick up snakes with their hands, and if they drink anything deadly, it will not hurt them. They will lay hands on the sick, and they will get well.’ After the Lord had spoken to them, he was taken up into heaven and sat down at the right hand of God. The disciples left and preached everywhere, while the Lord worked with them and confirmed the word by the signs that went with them.” (16:9–20)\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	c6ep				0	# Mark 1 General Notes\n\n## Structure and Formatting\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in 1:2–3, words from the Old Testament.\n\n## Special Concepts in this Chapter\n\n### “You can make me clean”\n\nLeprosy is a disease of the skin. It made a person unclean and unable to properly worship God. Jesus is capable of making people physically “clean” or healthy as well as spiritually “clean” or right with God. (See: [[rc://*/tw/dict/bible/kt/clean]])\n\n### “The kingdom of God is near”\n\nScholars debate whether the “kingdom of God” was present at this time or is something that is still coming or is a combination of both. English translations frequently use the phrase “at hand,” but this can create difficulty for translators. Other versions use the phase “is coming” and “has come near.”\n\n## Important Figures of Speech in this Chapter\n\n### The historic present\n\nTo call attention to a development in the story, Mark uses the present tense in past narration. In this chapter, the historic present occurs in verses 12, 21, 30, 37, 38, 40, 41, and 44. If it would not be natural to do that in your language, you could use the past tense in your translation. (See: [[rc://*/ta/man/translate/figs-pastforfuture]])
1:1	kpq1		rc://*/ta/man/translate/writing-newevent	ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ, Υἱοῦ Θεοῦ	1	This verse introduces the reader to the history of Jesus the Messiah as told by Mark. This functions as an introduction to the entire book of Mark. Use the natural form in your language for beginning the telling of something that actually happened.
1:1	i3bc		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Υἱοῦ Θεοῦ	1	The words **Son of God** form an important title that describes the relationship between God and Jesus. If it would be helpful in your language, you could use the alternate translation: “who is God’s Son”
1:2	fc4t		rc://*/ta/man/translate/figs-activepassive	καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “Just as Isaiah the prophet wrote”
1:2	e3by		rc://*/ta/man/translate/writing-quotations	καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ	1	Consider natural ways of introducing direct quotations in your language. Alternate translation: “Just as it is written in Isaiah the prophet, we read,” or “Just as it is written in Isaiah the prophet, he wrote,”
1:2	z8b7		rc://*/ta/man/translate/figs-ellipsis	ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ	1	Mark is leaving out some of the words that this sentence would need in many languages to be complete. If it would be helpful in your language, you could supply these words. Alternate translation: “in the scroll of Isaiah the prophet”
1:2	gu7i		rc://*/ta/man/translate/figs-idiom	πρὸ προσώπου σου	1	Here, **before your face** is an idiom which means that the **messenger** was sent first, and then the second person came after him. If it would be helpful in your language, you could clarify. Alternate translation: “first” or “before you”.
1:2	fsqn		rc://*/ta/man/translate/figs-metaphor	ἰδοὺ	1	The term **Behold** focuses the attention of the listener on what the speaker is about to say. Though it literally means “look” or “see,” in this case “seeing” means giving attention to what follows. Alternate translation, as a new sentence: “Pay attention!”
1:2	s28q		rc://*/ta/man/translate/figs-yousingular	προσώπου σου & τὴν ὁδόν σου	1	Here, both uses of the pronoun **your** refer to Jesus and are singular.
