Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
LUK	front	intro	uk55			0		# Introduction to the Gospel of Luke<br>## Part 1: General Introduction<br><br>### Outline of the Book of Luke<br><br>1. Dedication to Theophilus (1:1–4)<br>2. Prologue<br>  * The birth of John the Baptist (1:5–80)<br>  * The birth and youth of Jesus (2:1–51)<br>  * The ministry of John the Baptist (3:1–20)<br>  * The baptism, genealogy, and temptation of Jesus (3:21–4:13)<br>3. The teaching and healing ministry of Jesus in Galilee (4:14–9:50)<br>4. Jesus teaches along his journey to Jerusalem<br>  * Judgment by God, and people’s judgments about Jesus (9:51–13:21)<br>  * Who will be part of the kingdom of God (13:22–17:10)<br>  * Responding to Jesus by welcoming or rejecting him (17:11–19:27)<br>5. Jesus in Jerusalem<br>  * Jesus’ entry into Jerusalem (19:28–44)<br>  * Jesus teaches in the temple: conflict over his identity and authority (19:45–21:38)<br>  * Jesus’ death, burial, and resurrection (22:1–24:53)<br><br>### What is the Gospel of Luke about?<br><br>The Gospel of Luke is one of four books in the New Testament that describe the life and teachings of Jesus Christ. These books are called “gospels,” which means “good news.” Their authors wrote about different aspects of who Jesus was and what he did. Luke wrote his gospel for a person named Theophilus and dedicated it to him. Luke wrote an accurate description of the life and teachings of Jesus so that Theophilus would be certain that what he had been taught about Jesus was true. However, Luke expected that what he wrote would encourage all followers of Jesus.<br><br>### How should the title of this book be translated?<br><br>Translators may choose to call this book by its traditional title, “The Gospel of Luke” or “The Gospel according to Luke.” Or they may choose a different title, such as “The Good News about Jesus that Luke Wrote.” (See: [[rc://en/ta/man/translate/translate-names]])<br><br>### Who wrote the Book of Luke?<br><br>This book does not give the name of its author. However, the same person who wrote this book also wrote the Book of Acts, which is also dedicated to Theophilus. In parts of the Book of Acts, the author uses the word “we.” This indicates that the author traveled with Paul. Most scholars think that Luke was this person traveling with Paul. Therefore, since early Christian times, most Christians have recognized Luke as the author of both the Gospel of Luke and the Book of Acts.<br><br>Luke was a medical doctor. His way of writing shows that he was an educated man. He was probably a Gentile. Luke himself probably did not witness what Jesus said and did. But he tells Theophilus in his dedication that he talked to many people who did.<br><br>## Part 2: Important Religious and Cultural Concepts<br><br>### The kingdom of God<br><br>The “kingdom of God” is a major concept in the Gospel of Luke. It is very rich in meaning. It includes the idea of eternal life in the presence of God, but it also includes the idea of what the earth will be like in the future when God rules everything, and the idea of life on earth right now, when and where God’s wishes are carried out fully. The unifying concept behind all of these ideas is that of God ruling and of people embracing God’s rule over their lives. Wherever the expression “the kingdom of God” occurs, translation notes will suggest communicating the idea behind the abstract noun “kingdom” with some phrase that uses the verb “rule.” UST models this approach consistently. (See: [[rc://en/ta/man/translate/figs-abstractnouns]])<br><br>### Why does Luke write so much about the final week of Jesus’ life?<br><br>Luke wrote much about Jesus’ final week. He wanted his readers to think deeply about Jesus’ final week and his death on the cross. He wanted people to understand that Jesus willingly died on the cross so that God could forgive them for sinning against him. (See: [[rc://en/tw/dict/bible/kt/sin]])<br><br>### What are the roles of women in the Gospel of Luke?<br><br>Luke described women in a very positive way in his gospel. For example, he often showed women being more faithful to God than most men. (See: [[rc://en/tw/dict/bible/kt/faithful]])<br><br>## Part 3: Important Translation Issues<br><br>### What are the Synoptic Gospels?<br><br>The Gospels of Matthew, Mark, and Luke are called the Synoptic Gospels because they tell the story of many of the same events. The word “synoptic” means to “see together.”<br><br>Passages are considered “parallel” when they are the same or almost the same among two or three gospels. When translating parallel passages, translators should use the same wording and make them as similar as possible.<br><br>### Why does Jesus refer to himself as the “Son of Man”?<br><br>In the gospels, Jesus calls himself the “Son of Man.” This is a reference to Daniel [7:13–14](../dan/07/13.md). In that passage, there is a person who is described as like a “son of man.” That means that the person was someone who looked like a human being. God gave authority to this “son of man” to rule over the nations forever. All people will worship him forever.<br><br>Jews of Jesus’ time did not use “Son of Man” as a title for anyone. But Jesus used it for himself to help them understand who he truly was. (See: [[rc://en/tw/dict/bible/kt/sonofman]])<br><br>Translating the title “Son of Man” can be difficult in many languages. Readers may misunderstand a literal translation. Translators can consider alternatives, such as “The Human One.” It may also be helpful to include a footnote to explain the title.<br><br>### Major issues in the text of the Book of Luke<br><br>ULT follows the readings of the most accurate ancient manuscripts of the Bible. However, there may already be older versions of the Bible in the translators’ regions that follow the readings of other manuscripts. In the most significant cases, the General Notes to the chapters in which these differences occur will discuss them and recommend approaches. (See: [[rc://en/ta/man/translate/translate-textvariants]])
LUK	1	intro	f1b5			0		# Luke 01 General Notes<br>## Structure and formatting<br><br>1. Dedication to Theophilus (1:1–4)<br>2. The angel Gabriel announces to Zechariah that his wife Elizabeth is going to bear a son, John the Baptist (1:5–25)<br>3. The angel Gabriel announces to Mary that she is going to become the mother of Jesus (1:26–38)<br>4. Mary goes to visit Elizabeth (1:39–56)<br>5. John the Baptist is born (1:57–80)<br><br>Some translations set each line of poetry farther to the right than the rest of the text to make it easier to read. ULT does this with the poetry in Mary’s song about becoming the mother of Jesus in 1:46–55 and Zechariah’s song about the birth of his son John the Baptist in 1:68–79.<br><br>## Special concepts in this chapter<br><br>### “He will be called John”<br><br>Most people in the ancient Near East would give a child the same name as someone in their families. People were surprised that Elizabeth and Zechariah named their son John because there was no one else in their family with that name.
LUK	1	1	qhd9	figs-activepassive	περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων	1	concerning the things that have been fulfilled among us	If it would be clearer in your language, you could say this with an active form. Alternate translation: “about those things that have happened among us” (See: [[rc://en/ta/man/translate/figs-activepassive]])
LUK	1	1	hyp6	figs-exclusive	ἐν ἡμῖν	1	among us	Luke dedicates this book to a man named Theophilus. It is no longer known exactly who he was. But since Luke says in [1:4](../01/04.md) that he wants Theophilus to know that the things he has been taught are reliable, it appears that he was a follower of Jesus. So the word **us** here would include him. (See: [[rc://en/ta/man/translate/figs-exclusive]])
LUK	1	2	hud2	figs-metonymy	οἱ…αὐτόπται…γενόμενοι	1	who…were eyewitnesses	The term **eyewitness** describes someone who saw something happen personally, “with their own eyes.” The term describes such a person figuratively by reference to something associated with sight, the eye. Alternate translation: “who…saw these things personally” (See: [[rc://en/ta/man/translate/figs-metonymy]])
LUK	1	2	z9dq	figs-metonymy	ὑπηρέται…τοῦ λόγου	1	servants of the word	The term **word** figuratively describes the things that the people who brought the message conveyed by using words. Alternate translation: “servants of the message” (See: [[rc://en/ta/man/translate/figs-metonymy]])
LUK	1	2	l000	figs-metaphor	ὑπηρέται…τοῦ λόγου	1	servants of the word	The people who brought this message were actually serving God by doing that. But Luke describes them figuratively as **servants of the word**, as if they were serving the message from God. Alternate translation: “served God by telling people his message” (See: [[rc://en/ta/man/translate/figs-metaphor]])
LUK	1	3	fud1	writing-background	παρηκολουθηκότι ἄνωθεν πᾶσιν ἀκριβῶς	1	having carefully investigated everything from the beginning	Luke provides this background information to explain that he was careful to find out exactly what happened. He probably talked to different people who saw what happened to make sure that what he wrote down about these events was correct. Alternate translation: “because I have conducted careful research and interviews” (See: [[rc://en/ta/man/translate/writing-background]])
LUK	1	3	l001	figs-youformal	σοι…κράτιστε Θεόφιλε	1	you…most excellent Theophilus	If your language has a formal form of **you** that it uses to address a superior respectfully, it would be appropriate to use that form here. There are many other places in the book of Luke where your language might use formal **you**, and these notes will not address all of them. Rather, as you translate, use formal and informal **you** in the way that would be most natural in your language. The notes will address a few cases where a careful decision should be made between the two forms. (See: [[rc://en/ta/man/translate/figs-youformal]])
LUK	1	3	nr63		κράτιστε Θεόφιλε	1	most excellent Theophilus	Luke is dedicating this work to Theophilus, and within his dedication, this is the conventional personal greeting. If it would be more customary in your language and culture, you could put this greeting in [1:1](../01/01.md) at the start of the dedication, and so at the very beginning of the book. Alternate translation: “To most excellent Theophilus”
